RUN	gatling_viade_es1c.sharefriend1user	sharefriend1user	1588333568474	 	3.3.1
REQUEST	13		request_16	1588333592823	1588333592837	OK	 
REQUEST	13		request_15	1588333592822	1588333592838	OK	 
REQUEST	13		request_13	1588333592822	1588333592842	OK	 
REQUEST	13		request_17	1588333592823	1588333592844	OK	 
REQUEST	13		request_14	1588333592822	1588333592847	OK	 
REQUEST	13		request_18	1588333592823	1588333592850	OK	 
REQUEST	14		request_19	1588333591771	1588333592932	OK	 
REQUEST	17		request_12	1588333592333	1588333592933	OK	 
REQUEST	15		request_19	1588333591844	1588333593068	OK	 
REQUEST	18		request_12	1588333592888	1588333593392	OK	 
REQUEST	3		request_20	1588333592742	1588333593410	OK	 
REQUEST	3		request_21	1588333593411	1588333593414	OK	 
REQUEST	13		request_19	1588333592823	1588333593568	OK	 
REQUEST	19		request_12	1588333593351	1588333593799	OK	 
REQUEST	19		request_12 Redirect 1	1588333593799	1588333593898	OK	 
REQUEST	16		request_12 Redirect 1	1588333592632	1588333593920	OK	 
REQUEST	20		request_12	1588333593749	1588333594102	OK	 
REQUEST	17		request_12 Redirect 1	1588333592933	1588333594125	OK	 
REQUEST	19		request_12 Redirect 2	1588333593899	1588333594131	OK	 
REQUEST	19		request_16	1588333594134	1588333594143	OK	 
REQUEST	19		request_15	1588333594134	1588333594144	OK	 
REQUEST	19		request_13	1588333594133	1588333594147	OK	 
REQUEST	19		request_18	1588333594134	1588333594148	OK	 
REQUEST	19		request_17	1588333594134	1588333594149	OK	 
REQUEST	19		request_14	1588333594134	1588333594150	OK	 
REQUEST	20		request_12 Redirect 1	1588333594102	1588333594327	OK	 
REQUEST	17		request_12 Redirect 2	1588333594125	1588333594332	OK	 
REQUEST	4		request_20	1588333593792	1588333594342	OK	 
REQUEST	17		request_18	1588333594335	1588333594346	OK	 
REQUEST	17		request_17	1588333594334	1588333594347	OK	 
REQUEST	17		request_16	1588333594334	1588333594350	OK	 
REQUEST	17		request_13	1588333594333	1588333594351	OK	 
