RUN	gatling_viade_es1c.visualize1user	visualize1user	1588332311617	 	3.3.1
REQUEST	19		request_0	1588332322233	1588332322256	OK	 
REQUEST	4		request_19	1588332322222	1588332322259	OK	 
REQUEST	4		request_17	1588332322217	1588332322260	OK	 
REQUEST	4		request_18	1588332322217	1588332322264	OK	 
REQUEST	13		request_5	1588332322262	1588332322265	OK	 
REQUEST	15		request_1	1588332322251	1588332322268	OK	 
REQUEST	13		request_6	1588332322266	1588332322276	OK	 
REQUEST	15		request_2	1588332322270	1588332322279	OK	 
REQUEST	15		request_4	1588332322271	1588332322282	OK	 
REQUEST	15		request_3	1588332322270	1588332322284	OK	 
REQUEST	4		request_9	1588332322223	1588332322296	OK	 
REQUEST	9		request_7	1588332322273	1588332322409	OK	 
REQUEST	4		request_11	1588332322225	1588332322421	OK	 
REQUEST	4		request_10	1588332322224	1588332322427	OK	 
REQUEST	4		request_12	1588332322226	1588332322431	OK	 
REQUEST	4		request_14	1588332322227	1588332322614	OK	 
REQUEST	4		request_12	1588332322432	1588332322619	OK	 
REQUEST	1		request_14	1588332321312	1588332322644	OK	 
USER	visualize1user	20	START	1588332322721	1588332322721
REQUEST	20		request_0	1588332322722	1588332322728	OK	 
REQUEST	16		request_1	1588332322753	1588332322758	OK	 
REQUEST	16		request_2	1588332322759	1588332322762	OK	 
REQUEST	16		request_4	1588332322761	1588332322774	OK	 
REQUEST	16		request_3	1588332322759	1588332322775	OK	 
REQUEST	14		request_5	1588332322768	1588332322778	OK	 
REQUEST	14		request_6	1588332322779	1588332322781	OK	 
REQUEST	5		request_8	1588332322430	1588332322791	OK	 
REQUEST	5		request_13	1588332322794	1588332322805	OK	 
REQUEST	5		request_15	1588332322794	1588332322806	OK	 
REQUEST	5		request_17	1588332322796	1588332322812	OK	 
REQUEST	5		request_20	1588332322805	1588332322815	OK	 
REQUEST	5		request_18	1588332322796	1588332322818	OK	 
REQUEST	5		request_16	1588332322795	1588332322818	OK	 
REQUEST	5		request_19	1588332322797	1588332322824	OK	 
REQUEST	4		request_21	1588332322228	1588332322836	OK	 
REQUEST	5		request_9	1588332322798	1588332322838	OK	 
REQUEST	1		request_14	1588332322645	1588332322863	OK	 
REQUEST	10		request_7	1588332322779	1588332322896	OK	 
REQUEST	5		request_10	1588332322799	1588332323002	OK	 
REQUEST	5		request_11	1588332322800	1588332323008	OK	 
REQUEST	5		request_12	1588332322800	1588332323010	OK	 
REQUEST	5		request_14	1588332322801	1588332323182	OK	 
REQUEST	5		request_12	1588332323011	1588332323186	OK	 
REQUEST	6		request_8	1588332322900	1588332323205	OK	 
REQUEST	3		request_14	1588332322011	1588332323212	OK	 
REQUEST	6		request_13	1588332323207	1588332323219	OK	 
REQUEST	6		request_15	1588332323207	1588332323221	OK	 
REQUEST	6		request_16	1588332323207	1588332323232	OK	 
REQUEST	6		request_17	1588332323208	1588332323234	OK	 
REQUEST	6		request_18	1588332323209	1588332323241	OK	 
REQUEST	6		request_19	1588332323209	1588332323242	OK	 
